ip,first_seen,last_seen,total_claims,distinct_mac_count,top_mac,top_mac_ratio,is_spoof
192.168.1.1,2025-08-27 05:35:38.975199,2025-08-27 06:03:40.300667,27,1,54:37:bb:4a:08:b0,1.0,0
192.168.1.22,2025-08-27 05:35:38.979786,2025-08-27 06:03:40.300667,27,1,dc:46:28:a3:f1:24,1.0,0
