"timestamp","ip","mac","iface","note","is_spoof"2025-10-24T04:42:10.104507,172.19.65.1,16:d8:e4:80:e8:43,en0,,0
2025-10-24T04:42:18.604205,172.19.68.18,2e:10:74:71:68:f0,en0,,0
2025-10-24T04:42:18.704749,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:18.806714,172.19.68.175,3c:57:6c:03:30:57,en0,,0
2025-10-24T04:42:19.113906,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:19.216759,0.0.0.0,60:ff:9e:47:f0:9e,en0,,0
2025-10-24T04:42:19.218263,172.19.69.135,9e:f4:1c:a1:3b:0a,en0,,0
2025-10-24T04:42:19.524166,172.19.66.92,e2:2b:40:d5:33:b8,en0,,0
2025-10-24T04:42:19.934505,172.19.65.228,e2:d4:e4:d3:e3:39,en0,,0
2025-10-24T04:42:19.934845,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:20.138541,172.19.66.220,46:ce:8c:61:3f:bb,en0,,0
2025-10-24T04:42:20.138911,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:20.240194,0.0.0.0,60:ff:9e:47:f0:9e,en0,,0
2025-10-24T04:42:20.325807,172.19.71.128,56:fb:a5:fe:a9:d2,en0,,0
2025-10-24T04:42:20.332291,172.19.72.234,a6:05:b4:4c:6e:51,en0,,0
2025-10-24T04:42:20.961260,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:21.163620,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:21.164115,172.19.77.89,60:ff:9e:47:f0:9e,en0,,0
2025-10-24T04:42:21.265639,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:21.366503,172.19.66.21,12:01:ca:b6:ce:3e,en0,,0
2025-10-24T04:42:21.471942,172.19.67.105,22:87:2a:6d:93:d4,en0,,0
2025-10-24T04:42:21.473666,172.19.68.92,da:6a:59:c7:de:37,en0,,0
2025-10-24T04:42:21.675569,172.19.68.92,da:6a:59:c7:de:37,en0,,0
2025-10-24T04:42:21.676908,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:21.778216,172.19.73.53,06:ae:c6:d7:d1:f7,en0,,0
2025-10-24T04:42:21.883115,172.19.69.203,a6:75:f0:ca:66:d0,en0,,0
2025-10-24T04:42:21.981276,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:21.981862,172.19.68.6,c6:53:99:90:5d:0a,en0,,0
2025-10-24T04:42:22.085399,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:22.291108,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:22.801128,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:22.802732,172.19.66.184,ea:35:28:3a:cf:e7,en0,,0
2025-10-24T04:42:22.902649,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:23.210346,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:23.210690,172.19.77.89,60:ff:9e:47:f0:9e,en0,,0
2025-10-24T04:42:23.312617,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:23.313082,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:23.415927,172.19.68.94,dc:b7:2e:21:d4:63,en0,,0
2025-10-24T04:42:23.825506,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:23.927343,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:24.029982,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:24.234273,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:24.337108,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:24.543730,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:24.745809,172.19.67.105,22:87:2a:6d:93:d4,en0,,0
2025-10-24T04:42:24.951333,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:25.054485,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:25.155730,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:25.257675,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:25.462589,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:25.464075,172.19.68.103,4e:38:56:de:b2:c5,en0,,0
2025-10-24T04:42:25.567345,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:25.978675,172.19.72.250,5a:44:31:2d:3c:eb,en0,,0
2025-10-24T04:42:26.081175,172.19.70.137,8e:24:e5:68:87:ef,en0,,0
2025-10-24T04:42:26.179682,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:26.180063,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:26.180340,172.19.67.107,a6:99:6e:c2:45:4c,en0,,0
2025-10-24T04:42:26.180924,172.19.67.107,a6:99:6e:c2:45:4c,en0,,0
2025-10-24T04:42:26.282031,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:26.283925,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:26.488389,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:26.592576,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:26.896885,172.19.67.252,5e:92:c5:55:1e:25,en0,,0
2025-10-24T04:42:27.203639,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:27.408223,172.19.65.231,3e:b9:f1:d4:2a:d4,en0,,0
2025-10-24T04:42:27.511848,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:27.716630,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:27.716943,172.19.67.107,a6:99:6e:c2:45:4c,en0,,0
2025-10-24T04:42:28.228560,172.19.65.1,16:d8:e4:80:e8:43,en0,,0
2025-10-24T04:42:28.330183,172.19.69.211,9a:45:a1:52:e5:bd,en0,,0
2025-10-24T04:42:28.330625,172.19.66.132,02:44:a1:a4:b2:0b,en0,,0
2025-10-24T04:42:28.432615,172.19.65.125,de:fa:92:c5:09:8d,en0,,0
2025-10-24T04:42:33.757531,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:33.757942,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:33.758171,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
