ip,first_seen,last_seen,total_claims,distinct_mac_count,top_mac,top_mac_ratio,is_spoof
172.19.68.240,2025-10-24 04:42:36.932936,2025-10-24 04:42:36.932936,1,1,ac:d1:b8:d8:26:35,1.0,0
172.19.68.27,2025-10-24 04:43:06.014535,2025-10-24 04:43:06.014535,1,1,52:fd:a4:4c:92:d4,1.0,0
172.19.68.6,2025-10-24 04:42:21.981862,2025-10-24 04:42:59.562791,3,1,c6:53:99:90:5d:0a,1.0,0
172.19.68.77,2025-10-24 04:42:55.160280,2025-10-24 04:42:55.160280,1,1,0e:14:3e:3d:09:f8,1.0,0
172.19.68.8,2025-10-24 04:42:59.562567,2025-10-24 04:42:59.562567,1,1,72:e9:e4:50:55:68,1.0,0
172.19.68.92,2025-10-24 04:42:21.473666,2025-10-24 04:42:21.675569,2,1,da:6a:59:c7:de:37,1.0,0
172.19.68.94,2025-10-24 04:42:23.415927,2025-10-24 04:43:00.793241,4,1,dc:b7:2e:21:d4:63,1.0,0
172.19.69.120,2025-10-24 04:42:45.638211,2025-10-24 04:42:45.638211,1,1,26:41:d5:71:3e:25,1.0,0
172.19.69.123,2025-10-24 04:42:17.033874,2025-10-24 04:42:17.033874,1,1,ea:44:63:8b:33:84,1.0,0
172.19.69.135,2025-10-24 04:42:19.218263,2025-10-24 04:42:19.218263,1,1,9e:f4:1c:a1:3b:0a,1.0,0
172.19.69.189,2025-10-24 04:42:17.972108,2025-10-24 04:42:17.972108,1,1,ae:da:3f:25:25:55,1.0,0
172.19.69.203,2025-10-24 04:42:21.883115,2025-10-24 04:42:21.883115,1,1,a6:75:f0:ca:66:d0,1.0,0
172.19.69.211,2025-10-24 04:42:28.330183,2025-10-24 04:42:28.330183,1,1,9a:45:a1:52:e5:bd,1.0,0
172.19.69.50,2025-10-24 04:42:10.528693,2025-10-24 04:42:12.257983,6,1,94:bb:43:9c:34:88,1.0,0
172.19.70.137,2025-10-24 04:42:26.081175,2025-10-24 04:43:09.188447,2,1,8e:24:e5:68:87:ef,1.0,0
172.19.70.216,2025-10-24 04:42:36.799918,2025-10-24 04:42:36.799918,1,1,aa:95:02:17:cd:9e,1.0,0
172.19.70.229,2025-10-24 04:42:42.667125,2025-10-24 04:43:01.919755,3,1,06:36:42:c9:f3:6a,1.0,0
172.19.70.237,2025-10-24 04:42:14.462637,2025-10-24 04:42:14.462637,1,1,42:2b:94:ca:a7:20,1.0,0
172.19.70.56,2025-10-24 04:42:56.388488,2025-10-24 04:43:03.352540,3,1,f0:77:c3:fc:f6:e3,1.0,0
172.19.70.57,2025-10-24 04:42:36.835247,2025-10-24 04:42:39.185213,3,1,cc:6b:1e:6c:fd:37,1.0,0
172.19.71.128,2025-10-24 04:42:16.640188,2025-10-24 04:43:06.382266,6,1,56:fb:a5:fe:a9:d2,1.0,0
172.19.71.157,2025-10-24 04:43:09.600941,2025-10-24 04:43:09.600941,1,1,24:b2:b9:8e:3b:e9,1.0,0
172.19.71.96,2025-10-24 04:42:53.725820,2025-10-24 04:42:53.725820,1,1,9e:1e:28:d1:4b:f8,1.0,0
172.19.72.109,2025-10-24 04:43:08.678138,2025-10-24 04:43:08.678138,1,1,06:93:59:35:f0:69,1.0,0
172.19.72.138,2025-10-24 04:42:41.950245,2025-10-24 04:42:41.950245,1,1,8a:65:08:7e:e0:4c,1.0,0
172.19.72.140,2025-10-24 04:42:58.231775,2025-10-24 04:42:58.231775,1,1,22:49:5a:3b:8c:23,1.0,0
172.19.72.150,2025-10-24 04:42:56.081358,2025-10-24 04:42:56.081358,1,1,36:56:09:9c:39:2b,1.0,0
172.19.72.154,2025-10-24 04:42:14.183425,2025-10-24 04:42:14.183425,1,1,56:80:ad:7c:d5:db,1.0,0
172.19.72.171,2025-10-24 04:42:47.888856,2025-10-24 04:42:47.889705,2,1,5a:52:c9:f8:0c:31,1.0,0
172.19.72.214,2025-10-24 04:42:34.989047,2025-10-24 04:42:34.989047,1,1,86:af:d3:59:2a:94,1.0,0
172.19.72.234,2025-10-24 04:42:20.332291,2025-10-24 04:42:20.332291,1,1,a6:05:b4:4c:6e:51,1.0,0
172.19.72.242,2025-10-24 04:42:38.878972,2025-10-24 04:42:46.968805,5,1,ce:ff:b3:a9:17:3e,1.0,0
172.19.72.246,2025-10-24 04:43:08.266974,2025-10-24 04:43:08.266974,1,1,76:02:cf:f9:24:5b,1.0,0
172.19.72.250,2025-10-24 04:42:25.978675,2025-10-24 04:42:25.978675,1,1,5a:44:31:2d:3c:eb,1.0,0
172.19.72.253,2025-10-24 04:42:57.719287,2025-10-24 04:42:57.719287,1,1,de:77:8f:05:32:9a,1.0,0
172.19.72.38,2025-10-24 04:42:53.932118,2025-10-24 04:42:53.932118,1,1,62:d0:1d:cf:2a:c5,1.0,0
172.19.72.84,2025-10-24 04:42:47.684434,2025-10-24 04:42:47.684434,1,1,ca:07:2b:25:a9:8d,1.0,0
172.19.73.1,2025-10-24 04:42:54.652518,2025-10-24 04:43:06.528333,2,1,0a:15:55:3b:cb:74,1.0,0
172.19.73.106,2025-10-24 04:42:10.826925,2025-10-24 04:42:39.391553,7,1,34:7d:f6:ed:4d:88,1.0,0
172.19.73.12,2025-10-24 04:43:00.177633,2025-10-24 04:43:00.177849,2,1,4a:09:52:9f:02:f7,1.0,0
172.19.73.121,2025-10-24 04:42:59.564728,2025-10-24 04:42:59.564728,1,1,26:33:72:ec:54:ee,1.0,0
172.19.73.133,2025-10-24 04:42:41.130139,2025-10-24 04:42:41.130139,1,1,ea:0f:1e:fe:63:f0,1.0,0
172.19.73.145,2025-10-24 04:42:51.370537,2025-10-24 04:42:51.370537,1,1,a2:7f:47:78:8d:e6,1.0,0
172.19.73.146,2025-10-24 04:43:02.696325,2025-10-24 04:43:04.785293,2,1,d4:d8:53:82:bc:ca,1.0,0
172.19.73.19,2025-10-24 04:42:41.950501,2025-10-24 04:42:41.950501,1,1,ce:52:ca:a0:3f:d8,1.0,0
172.19.73.45,2025-10-24 04:42:52.804065,2025-10-24 04:42:52.804065,1,1,ae:83:85:40:b9:f1,1.0,0
172.19.73.53,2025-10-24 04:42:16.968574,2025-10-24 04:42:21.778216,2,1,06:ae:c6:d7:d1:f7,1.0,0
172.19.73.95,2025-10-24 04:42:47.480330,2025-10-24 04:42:49.219890,3,1,7c:76:35:2e:26:c4,1.0,0
172.19.73.97,2025-10-24 04:42:13.075316,2025-10-24 04:42:15.019617,3,1,00:e9:3a:a2:f6:49,1.0,0
172.19.77.89,2025-10-24 04:42:21.164115,2025-10-24 04:42:23.210690,2,1,60:ff:9e:47:f0:9e,1.0,0
